Job Type,EX_level_demand,Industry,Technical_Tool,Competitive Level,Client_Country,Hourly_Rate
Application Development,Intermediate,Insurance,Sketch,Uncompetitive,Canada,16.0
Web Scraping,Intermediate,Telecommunications,Octoparse,Extremely Competitive,India,16.0
Application Development,Intermediate,Construction and Engineering,UXPin,Extremely Competitive,Netherlands,25.0
Web Scraping,Intermediate,Non-Profit and NGOs,OutWit Hub,Competitive,Russia,21.0
Website Development,Intermediate,Energy and Utilities,TypeScript,Extremely Competitive,Austria,10.0
Web Scraping,Intermediate,Personal Blogs/Portfolios,WebHarvy,Competitive,Mexico,19.0
Website Development,Entry Level,Hospitality and Travel,Visual Studio Code,Extremely Competitive,Japan,21.0
Website Development,Intermediate,Automotive,Bootstrap,Extremely Competitive,Norway,22.0
Web Scraping,Entry Level,Media and Entertainment,DataMiner,Competitive,Norway,20.0
Web Scraping,Intermediate,Healthcare,WebHarvy,Uncompetitive,Thailand,25.0
Application Development,Intermediate,Government,Affinity Designer,Competitive,United Arab Emirates,32.0
Website Development,Expert,Finance and Banking,Flutter,Uncompetitive,Belgium,10.0
Application Development,Intermediate,Non-Profit and NGOs,Proto.io,Competitive,Italy,23.0
Web Scraping,Intermediate,Energy and Utilities,Selenium,Competitive,Russia,21.0
Website Development,Intermediate,Retail (Non-E-commerce),Django,Uncompetitive,Canada,13.0
Application Development,Intermediate,Insurance,Axure,Competitive,Japan,24.0
Application Development,Entry Level,Education,Adobe XD,Competitive,India,21.0
Web Scraping,Intermediate,Healthcare,DataMiner,Competitive,China,13.0
Website Development,Entry Level,Government,TypeScript,Competitive,France,17.0
Website Development,Entry Level,Finance and Banking,Node.js,Competitive,Argentina,6.0
Website Development,Expert,Small Business/Local Business,Express.js,Uncompetitive,Indonesia,19.0
Web Scraping,Intermediate,Telecommunications,Selenium,Competitive,Norway,20.0
Application Development,Intermediate,E-Commerce,Marvel,Competitive,Italy,23.0
Website Development,Intermediate,Finance and Banking,Next.js,Extremely Competitive,Germany,18.0
Web Scraping,Expert,Education,Import.io,Competitive,Netherlands,20.0
Application Development,Expert,Professional Services,Marvel,Uncompetitive,United States,36.0
Website Development,Intermediate,Small Business/Local Business,Ruby on Rails,Competitive,Argentina,5.0
Application Development,Expert,Government,UXPin,Competitive,Sweden,28.0
Web Scraping,Intermediate,Small Business/Local Business,DataMiner,Competitive,Netherlands,20.0
Web Scraping,Entry Level,Non-Profit and NGOs,Beautiful Soup,Uncompetitive,Indonesia,17.0
Web Scraping,Intermediate,Insurance,Mozenda,Competitive,Netherlands,20.0
Application Development,Entry Level,Hospitality and Travel,InVision,Competitive,India,21.0
Website Development,Intermediate,E-Commerce,Ruby on Rails,Competitive,China,14.0
Website Development,Entry Level,Manufacturing and Industrial,Express.js,Competitive,India,18.0
Website Development,Entry Level,Healthcare,Next.js,Competitive,Netherlands,22.0
Website Development,Entry Level,E-Commerce,Node.js,Uncompetitive,Argentina,3.0
Application Development,Entry Level,Real Estate,Axure,Extremely Competitive,Japan,24.0
Application Development,Expert,Government,UXPin,Competitive,South Africa,27.0
Web Scraping,Entry Level,Non-Profit and NGOs,Beautiful Soup,Extremely Competitive,China,14.0
Website Development,Intermediate,Automotive,TypeScript,Competitive,Germany,17.0
Website Development,Intermediate,Education,Next.js,Competitive,China,14.0
Website Development,Intermediate,Professional Services,Django,Competitive,China,15.0
Web Scraping,Expert,Hospitality and Travel,OutWit Hub,Uncompetitive,Russia,21.0
Website Development,Expert,Education,Bootstrap,Competitive,Russia,23.0
Application Development,Intermediate,Retail (Non-E-commerce),Affinity Designer,Uncompetitive,Switzerland,29.0
Application Development,Intermediate,Hospitality and Travel,Balsamiq,Extremely Competitive,Italy,23.0
Application Development,Intermediate,E-Commerce,Axure,Extremely Competitive,Italy,23.0
Web Scraping,Expert,Technology and SaaS,ParseHub,Competitive,South Korea,22.0
Website Development,Entry Level,Energy and Utilities,Bootstrap,Competitive,Italy,20.0
Web Scraping,Intermediate,Retail (Non-E-commerce),Octoparse,Uncompetitive,United Kingdom,27.0
Application Development,Entry Level,Finance and Banking,Adobe XD,Competitive,France,19.0
Website Development,Intermediate,Construction and Engineering,Bootstrap,Competitive,South Korea,25.0
Website Development,Expert,Government,Squarespace,Competitive,United Kingdom,31.0
Web Scraping,Intermediate,Technology and SaaS,ParseHub,Competitive,Australia,7.0
Web Scraping,Intermediate,Construction and Engineering,Mozenda,Extremely Competitive,Russia,21.0
Application Development,Expert,Automotive,Marvel,Competitive,Turkey,31.0
Web Scraping,Intermediate,Technology and SaaS,WebHarvy,Uncompetitive,Mexico,19.0
Web Scraping,Expert,Professional Services,Mozenda,Competitive,Italy,18.0
Application Development,Intermediate,Construction and Engineering,InVision,Extremely Competitive,Thailand,30.0
Application Development,Entry Level,E-Commerce,Proto.io,Extremely Competitive,Mexico,24.0
Application Development,Entry Level,Insurance,Figma,Competitive,India,21.0
Website Development,Intermediate,Non-Profit and NGOs,Django,Extremely Competitive,Canada,13.0
Application Development,Expert,Non-Profit and NGOs,Balsamiq,Extremely Competitive,Switzerland,29.0
Application Development,Intermediate,Technology and SaaS,Proto.io,Competitive,India,22.0
Application Development,Intermediate,Small Business/Local Business,Proto.io,Extremely Competitive,United Kingdom,33.0
Web Scraping,Entry Level,Hospitality and Travel,ParseHub,Extremely Competitive,South Korea,23.0
Application Development,Entry Level,Personal Blogs/Portfolios,Figma,Competitive,Italy,23.0
Application Development,Entry Level,Telecommunications,Figma,Competitive,Brazil,15.0
Website Development,Expert,Government,Figma,Uncompetitive,Saudi Arabia,23.0
Website Development,Intermediate,E-Commerce,Next.js,Extremely Competitive,China,15.0
Application Development,Expert,Hospitality and Travel,Axure,Competitive,Netherlands,25.0
Application Development,Entry Level,Government,Proto.io,Competitive,Germany,21.0
Web Scraping,Intermediate,Automotive,OutWit Hub,Competitive,Switzerland,25.0
Application Development,Intermediate,Manufacturing and Industrial,Balsamiq,Competitive,Saudi Arabia,26.0
Application Development,Intermediate,Healthcare,Axure,Competitive,Switzerland,29.0
Web Scraping,Entry Level,Media and Entertainment,Import.io,Competitive,Netherlands,20.0
Application Development,Intermediate,Healthcare,Proto.io,Competitive,Sweden,29.0
Application Development,Expert,Education,Marvel,Competitive,Mexico,24.0
Application Development,Intermediate,Automotive,Balsamiq,Extremely Competitive,Saudi Arabia,27.0
Application Development,Expert,Small Business/Local Business,Balsamiq,Competitive,Italy,23.0
Website Development,Intermediate,E-Commerce,TypeScript,Competitive,Australia,8.0
Website Development,Intermediate,Manufacturing and Industrial,Visual Studio Code,Competitive,Netherlands,22.0
Web Scraping,Expert,Energy and Utilities,Mozenda,Competitive,South Korea,23.0
Web Scraping,Entry Level,Real Estate,OutWit Hub,Competitive,South Korea,23.0
Web Scraping,Intermediate,Media and Entertainment,WebHarvy,Competitive,Canada,11.0
Website Development,Expert,Small Business/Local Business,WordPress,Extremely Competitive,Italy,20.0
Website Development,Intermediate,Finance and Banking,Ruby on Rails,Uncompetitive,Belgium,11.0
Application Development,Intermediate,E-Commerce,UXPin,Extremely Competitive,United States,34.0
Web Scraping,Entry Level,Insurance,DataMiner,Extremely Competitive,Turkey,26.0
Website Development,Intermediate,Insurance,Angular,Uncompetitive,Belgium,11.0
Web Scraping,Expert,Insurance,Mozenda,Competitive,Canada,11.0
Application Development,Intermediate,Retail (Non-E-commerce),Marvel,Competitive,Thailand,30.0
Application Development,Intermediate,Retail (Non-E-commerce),Axure,Uncompetitive,Spain,28.0
Web Scraping,Intermediate,Media and Entertainment,Import.io,Extremely Competitive,China,13.0
Website Development,Expert,Professional Services,Bootstrap,Competitive,France,16.0
Website Development,Expert,Insurance,Django,Competitive,Brazil,12.0
Application Development,Intermediate,Media and Entertainment,Balsamiq,Competitive,China,18.0
Website Development,Intermediate,Personal Blogs/Portfolios,Flutter,Competitive,Italy,20.0
Web Scraping,Intermediate,Automotive,Octoparse,Competitive,United Kingdom,27.0
Website Development,Expert,Automotive,Figma,Competitive,Poland,22.0
Application Development,Expert,Professional Services,Affinity Designer,Uncompetitive,United States,34.0
Web Scraping,Intermediate,Telecommunications,OutWit Hub,Competitive,China,12.0
Application Development,Entry Level,Government,Affinity Designer,Uncompetitive,United States,35.0
Website Development,Expert,Manufacturing and Industrial,TypeScript,Competitive,Australia,10.0
Application Development,Entry Level,Government,Axure,Competitive,Norway,25.0
Web Scraping,Expert,Professional Services,Scrapy,Competitive,Netherlands,20.0
Web Scraping,Expert,Technology and SaaS,DataMiner,Uncompetitive,Canada,11.0
Application Development,Expert,Personal Blogs/Portfolios,UXPin,Extremely Competitive,Spain,28.0
Website Development,Expert,Retail (Non-E-commerce),Figma,Competitive,Sweden,26.0
Web Scraping,Intermediate,E-Commerce,Import.io,Competitive,Sweden,24.0
Website Development,Expert,Insurance,Vue.js,Competitive,Brazil,11.0
Application Development,Entry Level,Healthcare,Adobe XD,Competitive,Italy,23.0
Website Development,Entry Level,Energy and Utilities,Laravel,Competitive,India,18.0
Web Scraping,Intermediate,Professional Services,Selenium,Uncompetitive,Brazil,10.0
Application Development,Intermediate,Retail (Non-E-commerce),UXPin,Competitive,United Kingdom,33.0
Application Development,Intermediate,Construction and Engineering,UXPin,Uncompetitive,Russia,26.0
Website Development,Entry Level,Real Estate,Laravel,Competitive,Indonesia,19.0
Website Development,Expert,Manufacturing and Industrial,Flutter,Competitive,Italy,20.0
Application Development,Intermediate,Personal Blogs/Portfolios,UXPin,Competitive,Spain,28.0
Application Development,Intermediate,Personal Blogs/Portfolios,Figma,Extremely Competitive,Germany,21.0
Website Development,Intermediate,Hospitality and Travel,TypeScript,Competitive,Germany,17.0
Website Development,Entry Level,Personal Blogs/Portfolios,Next.js,Competitive,France,16.0
Web Scraping,Expert,Energy and Utilities,WebHarvy,Competitive,Netherlands,20.0
Application Development,Entry Level,Automotive,Marvel,Competitive,Netherlands,25.0
Web Scraping,Intermediate,Personal Blogs/Portfolios,Beautiful Soup,Extremely Competitive,Spain,23.0
Application Development,Expert,Healthcare,InVision,Uncompetitive,Switzerland,29.0
Application Development,Entry Level,Non-Profit and NGOs,Sketch,Competitive,China,18.0
Website Development,Expert,E-Commerce,Visual Studio Code,Extremely Competitive,Mexico,22.0
Website Development,Expert,Education,WordPress,Uncompetitive,Saudi Arabia,24.0
Website Development,Expert,Personal Blogs/Portfolios,Flutter,Extremely Competitive,Japan,21.0
Website Development,Expert,Non-Profit and NGOs,Bootstrap,Competitive,Italy,20.0
Website Development,Entry Level,Real Estate,Flutter,Competitive,Germany,17.0
Application Development,Entry Level,Energy and Utilities,InVision,Competitive,Australia,12.0
Website Development,Entry Level,Hospitality and Travel,Bootstrap,Competitive,China,16.0
Web Scraping,Expert,Hospitality and Travel,OutWit Hub,Competitive,Netherlands,20.0
Web Scraping,Entry Level,Media and Entertainment,Octoparse,Competitive,India,16.0
Web Scraping,Intermediate,Small Business/Local Business,Scrapy,Competitive,Spain,23.0
Web Scraping,Intermediate,Retail (Non-E-commerce),Import.io,Competitive,Saudi Arabia,21.0
Web Scraping,Entry Level,Retail (Non-E-commerce),Scrapy,Competitive,United States,29.0
Application Development,Expert,Construction and Engineering,Proto.io,Competitive,United Arab Emirates,32.0
Web Scraping,Expert,Telecommunications,Scrapy,Competitive,Saudi Arabia,22.0
Website Development,Expert,Non-Profit and NGOs,Django,Uncompetitive,Brazil,12.0
Website Development,Intermediate,Finance and Banking,Laravel,Uncompetitive,Austria,10.0
Website Development,Expert,Government,Visual Studio Code,Uncompetitive,Russia,23.0
Web Scraping,Intermediate,Professional Services,DataMiner,Competitive,South Korea,22.0
Web Scraping,Entry Level,Small Business/Local Business,Import.io,Competitive,Israel,17.0
Web Scraping,Entry Level,Automotive,ParseHub,Extremely Competitive,Thailand,25.0
Website Development,Intermediate,Media and Entertainment,Ruby on Rails,Competitive,Austria,10.0
Web Scraping,Expert,Telecommunications,Octoparse,Competitive,Russia,21.0
Website Development,Intermediate,Government,Django,Competitive,Brazil,13.0
Website Development,Entry Level,Insurance,Vue.js,Competitive,Argentina,3.0
Application Development,Expert,Manufacturing and Industrial,UXPin,Competitive,Mexico,24.0
Website Development,Expert,Retail (Non-E-commerce),Drupal,Extremely Competitive,South Africa,24.0
Website Development,Expert,Real Estate,Express.js,Competitive,Indonesia,19.0
Application Development,Expert,Small Business/Local Business,Balsamiq,Competitive,Mexico,24.0
Website Development,Intermediate,Manufacturing and Industrial,Vue.js,Competitive,Argentina,5.0
Web Scraping,Expert,Non-Profit and NGOs,Octoparse,Competitive,Turkey,26.0
Application Development,Intermediate,Real Estate,InVision,Competitive,Switzerland,29.0
Web Scraping,Expert,Real Estate,Scrapy,Competitive,United States,35.0
Web Scraping,Expert,Retail (Non-E-commerce),Scrapy,Uncompetitive,South Korea,22.0
Web Scraping,Entry Level,Manufacturing and Industrial,Beautiful Soup,Competitive,Saudi Arabia,21.0
Website Development,Intermediate,Manufacturing and Industrial,Laravel,Extremely Competitive,China,14.0
Web Scraping,Intermediate,Education,DataMiner,Extremely Competitive,China,12.0
Application Development,Intermediate,Real Estate,UXPin,Uncompetitive,United Arab Emirates,32.0
Web Scraping,Expert,Education,Import.io,Competitive,South Korea,23.0
Website Development,Intermediate,Hospitality and Travel,Next.js,Competitive,Netherlands,22.0
Website Development,Intermediate,Insurance,Django,Competitive,Australia,8.0
Application Development,Entry Level,Manufacturing and Industrial,Balsamiq,Extremely Competitive,United Arab Emirates,32.0
Website Development,Entry Level,Manufacturing and Industrial,Ruby on Rails,Competitive,Belgium,11.0
Application Development,Intermediate,E-Commerce,InVision,Competitive,South Korea,27.0
Web Scraping,Entry Level,Non-Profit and NGOs,ParseHub,Competitive,France,14.0
Application Development,Expert,E-Commerce,InVision,Competitive,Italy,23.0
Website Development,Entry Level,Retail (Non-E-commerce),Next.js,Uncompetitive,Mexico,22.0
Website Development,Expert,Personal Blogs/Portfolios,Drupal,Extremely Competitive,Spain,25.0
Web Scraping,Entry Level,Technology and SaaS,Mozenda,Competitive,Russia,21.0
Application Development,Expert,Finance and Banking,Figma,Competitive,Russia,26.0
Web Scraping,Entry Level,E-Commerce,OutWit Hub,Uncompetitive,Indonesia,17.0
Website Development,Expert,Retail (Non-E-commerce),Figma,Uncompetitive,Russia,23.0
Web Scraping,Intermediate,Government,WebHarvy,Competitive,Italy,18.0
Web Scraping,Intermediate,Healthcare,Scrapy,Uncompetitive,Germany,15.0
Application Development,Expert,Energy and Utilities,Axure,Competitive,Saudi Arabia,26.0
Application Development,Entry Level,Finance and Banking,UXPin,Extremely Competitive,Japan,24.0
Website Development,Intermediate,Telecommunications,Ruby on Rails,Uncompetitive,Australia,7.0
Web Scraping,Expert,Government,Import.io,Competitive,United Arab Emirates,27.0
Website Development,Entry Level,Retail (Non-E-commerce),Flutter,Competitive,France,16.0
Application Development,Intermediate,E-Commerce,Marvel,Competitive,France,19.0
Application Development,Expert,Automotive,Affinity Designer,Uncompetitive,United States,36.0
Website Development,Entry Level,Technology and SaaS,Ruby on Rails,Competitive,Canada,14.0
Website Development,Entry Level,E-Commerce,Angular,Extremely Competitive,Brazil,13.0
Website Development,Entry Level,Retail (Non-E-commerce),Angular,Extremely Competitive,Brazil,13.0
Web Scraping,Entry Level,Automotive,Scrapy,Extremely Competitive,Mexico,20.0
Website Development,Entry Level,Personal Blogs/Portfolios,TypeScript,Competitive,Indonesia,19.0
Application Development,Entry Level,Real Estate,Affinity Designer,Extremely Competitive,Thailand,31.0
Web Scraping,Entry Level,Media and Entertainment,Import.io,Competitive,Brazil,10.0
Web Scraping,Expert,Technology and SaaS,Octoparse,Competitive,Japan,19.0
Website Development,Intermediate,E-Commerce,React.js,Competitive,Argentina,6.0
Application Development,Entry Level,Real Estate,Affinity Designer,Uncompetitive,United States,35.0
Web Scraping,Expert,Telecommunications,OutWit Hub,Competitive,Canada,12.0
Website Development,Expert,Energy and Utilities,Django,Extremely Competitive,China,15.0
Application Development,Expert,Automotive,Affinity Designer,Competitive,United Kingdom,33.0
Website Development,Expert,Manufacturing and Industrial,TypeScript,Competitive,India,18.0
Website Development,Entry Level,Small Business/Local Business,Flutter,Competitive,Brazil,11.0
Application Development,Expert,Insurance,Affinity Designer,Extremely Competitive,Thailand,31.0
Website Development,Expert,Personal Blogs/Portfolios,Express.js,Competitive,Russia,23.0
Application Development,Expert,Small Business/Local Business,Balsamiq,Competitive,Spain,28.0
Application Development,Intermediate,Telecommunications,Marvel,Uncompetitive,China,18.0
Web Scraping,Entry Level,Professional Services,WebHarvy,Competitive,Mexico,19.0
Website Development,Intermediate,Non-Profit and NGOs,Django,Competitive,Australia,8.0
Application Development,Intermediate,Insurance,Balsamiq,Uncompetitive,Germany,21.0
Web Scraping,Intermediate,Education,Octoparse,Competitive,France,14.0
Web Scraping,Intermediate,Insurance,Import.io,Competitive,Indonesia,17.0
Application Development,Entry Level,Energy and Utilities,Affinity Designer,Competitive,United Arab Emirates,32.0
Web Scraping,Intermediate,Technology and SaaS,Octoparse,Competitive,Austria,8.0
Website Development,Intermediate,Hospitality and Travel,TypeScript,Competitive,Belgium,11.0
Application Development,Entry Level,Retail (Non-E-commerce),Affinity Designer,Competitive,United States,38.0
Website Development,Expert,Personal Blogs/Portfolios,Visual Studio Code,Competitive,United Kingdom,29.0
Application Development,Expert,Energy and Utilities,Balsamiq,Extremely Competitive,United States,36.0
Application Development,Entry Level,Professional Services,Proto.io,Uncompetitive,Germany,21.0
Web Scraping,Entry Level,Manufacturing and Industrial,Mozenda,Competitive,Germany,15.0
Application Development,Intermediate,E-Commerce,Affinity Designer,Uncompetitive,United Kingdom,32.0
Application Development,Intermediate,Real Estate,InVision,Competitive,Thailand,31.0
Application Development,Entry Level,Insurance,Adobe XD,Competitive,Germany,20.0
Application Development,Intermediate,Hospitality and Travel,Axure,Competitive,Italy,23.0
Website Development,Expert,Technology and SaaS,TypeScript,Competitive,France,16.0
Application Development,Expert,Hospitality and Travel,Marvel,Competitive,Sweden,29.0
Application Development,Entry Level,Non-Profit and NGOs,InVision,Extremely Competitive,Russia,26.0
Web Scraping,Intermediate,Non-Profit and NGOs,Selenium,Competitive,Argentina,4.0
Application Development,Entry Level,Technology and SaaS,Balsamiq,Competitive,China,17.0
Web Scraping,Expert,Hospitality and Travel,ParseHub,Competitive,Sweden,24.0
Application Development,Expert,Education,Proto.io,Uncompetitive,South Korea,27.0
Website Development,Intermediate,Small Business/Local Business,Flutter,Competitive,Germany,17.0
Web Scraping,Entry Level,Real Estate,ParseHub,Uncompetitive,Switzerland,25.0
Website Development,Intermediate,Automotive,Ruby on Rails,Uncompetitive,China,14.0
Application Development,Expert,Small Business/Local Business,Balsamiq,Competitive,Russia,26.0
Application Development,Intermediate,Retail (Non-E-commerce),Affinity Designer,Competitive,United States,36.0
Website Development,Intermediate,Manufacturing and Industrial,Next.js,Competitive,Japan,21.0
Web Scraping,Entry Level,Construction and Engineering,Scrapy,Competitive,Thailand,26.0
Web Scraping,Intermediate,Personal Blogs/Portfolios,WebHarvy,Uncompetitive,Germany,15.0
Website Development,Entry Level,Personal Blogs/Portfolios,TypeScript,Uncompetitive,Japan,21.0
Web Scraping,Entry Level,Non-Profit and NGOs,OutWit Hub,Competitive,Thailand,25.0
Application Development,Intermediate,Hospitality and Travel,Balsamiq,Extremely Competitive,United Kingdom,32.0
Application Development,Expert,Hospitality and Travel,Affinity Designer,Competitive,United States,34.0
Application Development,Expert,Construction and Engineering,Axure,Competitive,United Kingdom,32.0
Application Development,Expert,Manufacturing and Industrial,InVision,Uncompetitive,Russia,26.0
Application Development,Intermediate,Insurance,InVision,Competitive,China,19.0
Web Scraping,Expert,Professional Services,Mozenda,Competitive,Turkey,26.0
Web Scraping,Intermediate,Energy and Utilities,Octoparse,Uncompetitive,Brazil,11.0
Application Development,Expert,Healthcare,Marvel,Competitive,Sweden,29.0
Website Development,Intermediate,Finance and Banking,Bootstrap,Competitive,India,18.0
Website Development,Expert,Energy and Utilities,WordPress,Extremely Competitive,Indonesia,19.0
Application Development,Intermediate,Personal Blogs/Portfolios,Proto.io,Competitive,United Kingdom,32.0
Website Development,Entry Level,Real Estate,Next.js,Competitive,Japan,21.0
Application Development,Expert,Media and Entertainment,Marvel,Competitive,China,17.0
Web Scraping,Intermediate,Education,Octoparse,Competitive,Germany,15.0
Website Development,Intermediate,Personal Blogs/Portfolios,Laravel,Extremely Competitive,India,18.0
Web Scraping,Entry Level,Healthcare,Mozenda,Extremely Competitive,Spain,23.0
Website Development,Expert,Retail (Non-E-commerce),Figma,Competitive,Sweden,26.0
Website Development,Intermediate,Healthcare,Figma,Competitive,Sweden,25.0
Application Development,Intermediate,Manufacturing and Industrial,Marvel,Uncompetitive,Japan,24.0
Application Development,Intermediate,Automotive,Affinity Designer,Competitive,Spain,28.0
Web Scraping,Intermediate,E-Commerce,Selenium,Competitive,China,13.0
Application Development,Entry Level,Insurance,Figma,Competitive,Brazil,16.0
Web Scraping,Expert,E-Commerce,ParseHub,Competitive,Switzerland,25.0
Website Development,Entry Level,Telecommunications,Django,Competitive,China,15.0
Website Development,Entry Level,Manufacturing and Industrial,Laravel,Competitive,France,16.0
Website Development,Expert,Education,Next.js,Competitive,China,14.0
Application Development,Intermediate,Insurance,Balsamiq,Competitive,India,21.0
Website Development,Intermediate,Technology and SaaS,TypeScript,Uncompetitive,Brazil,12.0
Web Scraping,Entry Level,Healthcare,Scrapy,Extremely Competitive,South Korea,22.0
Website Development,Expert,Energy and Utilities,Flutter,Uncompetitive,Brazil,13.0
Application Development,Expert,Non-Profit and NGOs,Axure,Uncompetitive,Indonesia,22.0
Web Scraping,Intermediate,Education,OutWit Hub,Competitive,Indonesia,17.0
Web Scraping,Entry Level,E-Commerce,OutWit Hub,Competitive,Italy,18.0
Application Development,Expert,Small Business/Local Business,Affinity Designer,Extremely Competitive,Sweden,29.0
Web Scraping,Intermediate,Telecommunications,Beautiful Soup,Uncompetitive,Brazil,10.0
Web Scraping,Intermediate,Construction and Engineering,WebHarvy,Competitive,United States,29.0
Web Scraping,Intermediate,Technology and SaaS,Selenium,Competitive,Belgium,9.0
Application Development,Entry Level,Retail (Non-E-commerce),Affinity Designer,Competitive,United States,36.0
Web Scraping,Intermediate,Energy and Utilities,Octoparse,Competitive,Italy,18.0
Web Scraping,Intermediate,Healthcare,Import.io,Uncompetitive,Canada,11.0
Application Development,Entry Level,Energy and Utilities,InVision,Competitive,China,18.0
Website Development,Entry Level,Non-Profit and NGOs,Django,Competitive,Argentina,6.0
Application Development,Expert,Retail (Non-E-commerce),Affinity Designer,Extremely Competitive,United States,37.0
Application Development,Expert,Construction and Engineering,Marvel,Competitive,United States,37.0
Web Scraping,Intermediate,Construction and Engineering,Octoparse,Competitive,Indonesia,17.0
Application Development,Intermediate,Non-Profit and NGOs,InVision,Competitive,Canada,16.0
Application Development,Intermediate,Media and Entertainment,Balsamiq,Competitive,South Korea,27.0
Website Development,Intermediate,Telecommunications,Django,Competitive,Belgium,10.0
Web Scraping,Expert,Non-Profit and NGOs,Scrapy,Competitive,Italy,18.0
Web Scraping,Entry Level,Real Estate,Import.io,Competitive,Indonesia,17.0
Application Development,Intermediate,Media and Entertainment,Adobe XD,Competitive,China,17.0
Application Development,Expert,Insurance,Proto.io,Uncompetitive,South Korea,27.0
Application Development,Expert,Media and Entertainment,Figma,Extremely Competitive,Japan,24.0
Website Development,Entry Level,Technology and SaaS,TypeScript,Competitive,China,16.0
Website Development,Expert,Finance and Banking,Next.js,Competitive,China,14.0
Website Development,Entry Level,Real Estate,Visual Studio Code,Competitive,South Korea,24.0
Website Development,Intermediate,Media and Entertainment,TypeScript,Competitive,Brazil,12.0
Web Scraping,Entry Level,Retail (Non-E-commerce),ParseHub,Competitive,United States,35.0
Application Development,Entry Level,Real Estate,Axure,Competitive,Indonesia,22.0
Application Development,Expert,Construction and Engineering,UXPin,Uncompetitive,Sweden,29.0
Website Development,Entry Level,Media and Entertainment,Flutter,Extremely Competitive,China,16.0
Website Development,Entry Level,Finance and Banking,Flutter,Competitive,Austria,10.0
Website Development,Entry Level,Finance and Banking,React.js,Uncompetitive,Australia,9.0
Website Development,Intermediate,E-Commerce,Angular,Competitive,Argentina,3.0
Website Development,Entry Level,E-Commerce,Ruby on Rails,Competitive,Brazil,12.0
Application Development,Entry Level,Retail (Non-E-commerce),Marvel,Uncompetitive,Russia,26.0
Website Development,Entry Level,Healthcare,Express.js,Competitive,Spain,25.0
Application Development,Entry Level,Hospitality and Travel,Axure,Competitive,Japan,24.0
Application Development,Intermediate,Real Estate,Proto.io,Extremely Competitive,United States,35.0
Application Development,Intermediate,Non-Profit and NGOs,Figma,Extremely Competitive,China,17.0
Website Development,Intermediate,Personal Blogs/Portfolios,Laravel,Extremely Competitive,India,18.0
Web Scraping,Expert,Professional Services,Beautiful Soup,Competitive,Norway,20.0
Application Development,Intermediate,Real Estate,Marvel,Competitive,Indonesia,22.0
Website Development,Expert,Retail (Non-E-commerce),Figma,Competitive,Poland,22.0
Web Scraping,Expert,Finance and Banking,OutWit Hub,Extremely Competitive,Thailand,25.0
Application Development,Expert,Education,Balsamiq,Competitive,Turkey,31.0
Website Development,Expert,Manufacturing and Industrial,Bootstrap,Competitive,Poland,22.0
Application Development,Expert,Finance and Banking,Balsamiq,Extremely Competitive,United Kingdom,32.0
Website Development,Entry Level,Manufacturing and Industrial,Express.js,Competitive,France,16.0
Application Development,Entry Level,Education,Adobe XD,Competitive,Indonesia,22.0
Application Development,Expert,Energy and Utilities,Adobe XD,Competitive,Indonesia,22.0
