Job Title,EX_level_demand,Description,Technical_Tool,Applicants_Num,Spent($),Client_Country,Hourly_Rate
Website Development,Intermediate,Automotive,Bootstrap,50+,82300.0,Norway,22.0
Web Scraping,Entry Level,Media and Entertainment,DataMiner,15 to 20,60400.0,Norway,20.0
Web Scraping,Intermediate,Healthcare,WebHarvy,Less than 5,78200.0,Thailand,25.0
Application Development,Intermediate,Government,Affinity Designer,20 to 50,93400.0,United Arab Emirates,32.0
Website Development,Expert,Finance and Banking,Flutter,Less than 5,60700.0,Belgium,10.0
Application Development,Intermediate,Non-Profit and NGOs,Proto.io,5 to 10,1000.0,Italy,23.0
Web Scraping,Intermediate,Energy and Utilities,Selenium,5 to 10,76400.0,Russia,21.0
Website Development,Intermediate,Retail (Non-E-commerce),Django,Less than 5,91000.0,Canada,13.0
Application Development,Intermediate,Insurance,Axure,20 to 50,40900.0,Japan,24.0
Application Development,Entry Level,Education,Adobe XD,10 to 15,52800.0,India,21.0
Web Scraping,Intermediate,Healthcare,DataMiner,10 to 15,75100.0,China,13.0
Website Development,Entry Level,Government,TypeScript,5 to 10,86700.0,France,17.0
Website Development,Entry Level,Finance and Banking,Node.js,15 to 20,36600.0,Argentina,6.0
Website Development,Expert,Small Business/Local Business,Express.js,Less than 5,79800.0,Indonesia,19.0
Web Scraping,Intermediate,Telecommunications,Selenium,15 to 20,59000.0,Norway,20.0
Application Development,Intermediate,E-Commerce,Marvel,15 to 20,36200.0,Italy,23.0
Website Development,Intermediate,Finance and Banking,Next.js,50+,82600.0,Germany,18.0
Web Scraping,Expert,Education,Import.io,5 to 10,99400.0,Netherlands,20.0
Application Development,Expert,Professional Services,Marvel,Less than 5,73100.0,United States,36.0
Website Development,Intermediate,Small Business/Local Business,Ruby on Rails,10 to 15,96700.0,Argentina,5.0
Application Development,Expert,Government,UXPin,5 to 10,47800.0,Sweden,28.0
Web Scraping,Intermediate,Small Business/Local Business,DataMiner,20 to 50,24900.0,Netherlands,20.0
Web Scraping,Entry Level,Non-Profit and NGOs,Beautiful Soup,Less than 5,85000.0,Indonesia,17.0
Web Scraping,Intermediate,Insurance,Mozenda,15 to 20,74800.0,Netherlands,20.0
Application Development,Entry Level,Hospitality and Travel,InVision,20 to 50,69000.0,India,21.0
Website Development,Intermediate,E-Commerce,Ruby on Rails,5 to 10,46200.0,China,14.0
Website Development,Entry Level,Manufacturing and Industrial,Express.js,5 to 10,20100.0,India,18.0
Website Development,Entry Level,Healthcare,Next.js,5 to 10,21600.0,Netherlands,22.0
Website Development,Entry Level,E-Commerce,Node.js,Less than 5,15300.0,Argentina,3.0
Application Development,Entry Level,Real Estate,Axure,50+,10000.0,Japan,24.0
Application Development,Expert,Government,UXPin,15 to 20,37800.0,South Africa,27.0
Web Scraping,Entry Level,Non-Profit and NGOs,Beautiful Soup,50+,6200.0,China,14.0
Website Development,Intermediate,Automotive,TypeScript,20 to 50,44200.0,Germany,17.0
Website Development,Intermediate,Education,Next.js,20 to 50,8700.0,China,14.0
Website Development,Intermediate,Professional Services,Django,20 to 50,41600.0,China,15.0
Web Scraping,Expert,Hospitality and Travel,OutWit Hub,Less than 5,59600.0,Russia,21.0
Website Development,Expert,Education,Bootstrap,5 to 10,16500.0,Russia,23.0
Application Development,Intermediate,Retail (Non-E-commerce),Affinity Designer,Less than 5,83200.0,Switzerland,29.0
Application Development,Intermediate,Hospitality and Travel,Balsamiq,50+,66400.0,Italy,23.0
Application Development,Intermediate,E-Commerce,Axure,50+,11500.0,Italy,23.0
Web Scraping,Expert,Technology and SaaS,ParseHub,5 to 10,46600.0,South Korea,22.0
Website Development,Entry Level,Energy and Utilities,Bootstrap,10 to 15,53500.0,Italy,20.0
Web Scraping,Intermediate,Retail (Non-E-commerce),Octoparse,Less than 5,10400.0,United Kingdom,27.0
Application Development,Entry Level,Finance and Banking,Adobe XD,15 to 20,34100.0,France,19.0
Website Development,Intermediate,Construction and Engineering,Bootstrap,20 to 50,91200.0,South Korea,25.0
Website Development,Expert,Government,Squarespace,10 to 15,97200.0,United Kingdom,31.0
Web Scraping,Intermediate,Technology and SaaS,ParseHub,5 to 10,10800.0,Australia,7.0
Web Scraping,Intermediate,Construction and Engineering,Mozenda,50+,93500.0,Russia,21.0
Application Development,Expert,Automotive,Marvel,15 to 20,51900.0,Turkey,31.0
Web Scraping,Intermediate,Technology and SaaS,WebHarvy,Less than 5,92000.0,Mexico,19.0
Web Scraping,Expert,Professional Services,Mozenda,10 to 15,23100.0,Italy,18.0
Application Development,Intermediate,Construction and Engineering,InVision,50+,7700.0,Thailand,30.0
Application Development,Entry Level,E-Commerce,Proto.io,50+,89400.0,Mexico,24.0
Application Development,Entry Level,Insurance,Figma,20 to 50,61600.0,India,21.0
Website Development,Intermediate,Non-Profit and NGOs,Django,50+,1100.0,Canada,13.0
Application Development,Expert,Non-Profit and NGOs,Balsamiq,50+,27900.0,Switzerland,29.0
Application Development,Intermediate,Technology and SaaS,Proto.io,5 to 10,72000.0,India,22.0
Application Development,Intermediate,Small Business/Local Business,Proto.io,50+,67700.0,United Kingdom,33.0
Web Scraping,Entry Level,Hospitality and Travel,ParseHub,50+,65200.0,South Korea,23.0
Application Development,Entry Level,Personal Blogs/Portfolios,Figma,5 to 10,62200.0,Italy,23.0
Application Development,Entry Level,Telecommunications,Figma,20 to 50,69000.0,Brazil,15.0
Website Development,Expert,Government,Figma,Less than 5,46300.0,Saudi Arabia,23.0
Website Development,Intermediate,E-Commerce,Next.js,50+,45500.0,China,15.0
Application Development,Expert,Hospitality and Travel,Axure,15 to 20,74600.0,Netherlands,25.0
Application Development,Entry Level,Government,Proto.io,20 to 50,10000.0,Germany,21.0
Web Scraping,Intermediate,Automotive,OutWit Hub,15 to 20,96200.0,Switzerland,25.0
Application Development,Intermediate,Manufacturing and Industrial,Balsamiq,5 to 10,43200.0,Saudi Arabia,26.0
Application Development,Intermediate,Healthcare,Axure,15 to 20,18100.0,Switzerland,29.0
Web Scraping,Entry Level,Media and Entertainment,Import.io,10 to 15,84000.0,Netherlands,20.0
Application Development,Intermediate,Healthcare,Proto.io,15 to 20,65200.0,Sweden,29.0
Application Development,Expert,Education,Marvel,5 to 10,14500.0,Mexico,24.0
Application Development,Intermediate,Automotive,Balsamiq,50+,38600.0,Saudi Arabia,27.0
Application Development,Expert,Small Business/Local Business,Balsamiq,10 to 15,83000.0,Italy,23.0
Website Development,Intermediate,E-Commerce,TypeScript,15 to 20,36000.0,Australia,8.0
Website Development,Intermediate,Manufacturing and Industrial,Visual Studio Code,15 to 20,42900.0,Netherlands,22.0
Web Scraping,Expert,Energy and Utilities,Mozenda,10 to 15,28100.0,South Korea,23.0
Web Scraping,Entry Level,Real Estate,OutWit Hub,15 to 20,16000.0,South Korea,23.0
Web Scraping,Intermediate,Media and Entertainment,WebHarvy,5 to 10,84800.0,Canada,11.0
Website Development,Expert,Small Business/Local Business,WordPress,50+,84400.0,Italy,20.0
Website Development,Intermediate,Finance and Banking,Ruby on Rails,Less than 5,67200.0,Belgium,11.0
Application Development,Intermediate,E-Commerce,UXPin,50+,98600.0,United States,34.0
Web Scraping,Entry Level,Insurance,DataMiner,50+,36500.0,Turkey,26.0
Website Development,Intermediate,Insurance,Angular,Less than 5,68100.0,Belgium,11.0
Web Scraping,Expert,Insurance,Mozenda,20 to 50,53100.0,Canada,11.0
Application Development,Intermediate,Retail (Non-E-commerce),Marvel,5 to 10,29500.0,Thailand,30.0
Application Development,Intermediate,Retail (Non-E-commerce),Axure,Less than 5,8400.0,Spain,28.0
Web Scraping,Intermediate,Media and Entertainment,Import.io,50+,51100.0,China,13.0
Website Development,Expert,Professional Services,Bootstrap,15 to 20,59200.0,France,16.0
Website Development,Expert,Insurance,Django,5 to 10,72200.0,Brazil,12.0
Application Development,Intermediate,Media and Entertainment,Balsamiq,5 to 10,25600.0,China,18.0
Website Development,Intermediate,Personal Blogs/Portfolios,Flutter,5 to 10,83400.0,Italy,20.0
Web Scraping,Intermediate,Automotive,Octoparse,15 to 20,68900.0,United Kingdom,27.0
Website Development,Expert,Automotive,Figma,15 to 20,31300.0,Poland,22.0
Application Development,Expert,Professional Services,Affinity Designer,Less than 5,48100.0,United States,34.0
Web Scraping,Intermediate,Telecommunications,OutWit Hub,10 to 15,32500.0,China,12.0
Application Development,Entry Level,Government,Affinity Designer,Less than 5,1100.0,United States,35.0
Website Development,Expert,Manufacturing and Industrial,TypeScript,20 to 50,37900.0,Australia,10.0
Application Development,Entry Level,Government,Axure,10 to 15,15900.0,Norway,25.0
Web Scraping,Expert,Professional Services,Scrapy,10 to 15,18600.0,Netherlands,20.0
Web Scraping,Expert,Technology and SaaS,DataMiner,Less than 5,59300.0,Canada,11.0
Application Development,Expert,Personal Blogs/Portfolios,UXPin,50+,47500.0,Spain,28.0
Website Development,Expert,Retail (Non-E-commerce),Figma,10 to 15,96000.0,Sweden,26.0
Web Scraping,Intermediate,E-Commerce,Import.io,5 to 10,39200.0,Sweden,24.0
Website Development,Expert,Insurance,Vue.js,20 to 50,63300.0,Brazil,11.0
Application Development,Entry Level,Healthcare,Adobe XD,20 to 50,61100.0,Italy,23.0
Website Development,Entry Level,Energy and Utilities,Laravel,20 to 50,30000.0,India,18.0
Web Scraping,Intermediate,Professional Services,Selenium,Less than 5,82400.0,Brazil,10.0
Application Development,Intermediate,Retail (Non-E-commerce),UXPin,15 to 20,19500.0,United Kingdom,33.0
Application Development,Intermediate,Construction and Engineering,UXPin,Less than 5,1000.0,Russia,26.0
Website Development,Entry Level,Real Estate,Laravel,5 to 10,76200.0,Indonesia,19.0
Website Development,Expert,Manufacturing and Industrial,Flutter,20 to 50,88400.0,Italy,20.0
Application Development,Intermediate,Personal Blogs/Portfolios,UXPin,10 to 15,14300.0,Spain,28.0
Application Development,Intermediate,Personal Blogs/Portfolios,Figma,50+,34000.0,Germany,21.0
Website Development,Intermediate,Hospitality and Travel,TypeScript,20 to 50,48800.0,Germany,17.0
Website Development,Entry Level,Personal Blogs/Portfolios,Next.js,5 to 10,95400.0,France,16.0
Web Scraping,Expert,Energy and Utilities,WebHarvy,5 to 10,41800.0,Netherlands,20.0
Application Development,Entry Level,Automotive,Marvel,20 to 50,78200.0,Netherlands,25.0
Web Scraping,Intermediate,Personal Blogs/Portfolios,Beautiful Soup,50+,31800.0,Spain,23.0
Application Development,Expert,Healthcare,InVision,Less than 5,35600.0,Switzerland,29.0
Application Development,Entry Level,Non-Profit and NGOs,Sketch,20 to 50,85800.0,China,18.0
Website Development,Expert,E-Commerce,Visual Studio Code,50+,47800.0,Mexico,22.0
Website Development,Expert,Education,WordPress,Less than 5,6700.0,Saudi Arabia,24.0
Website Development,Expert,Personal Blogs/Portfolios,Flutter,50+,97900.0,Japan,21.0
Website Development,Expert,Non-Profit and NGOs,Bootstrap,20 to 50,14300.0,Italy,20.0
Website Development,Entry Level,Real Estate,Flutter,5 to 10,52800.0,Germany,17.0
Application Development,Entry Level,Energy and Utilities,InVision,5 to 10,51200.0,Australia,12.0
Website Development,Entry Level,Hospitality and Travel,Bootstrap,20 to 50,51800.0,China,16.0
Web Scraping,Expert,Hospitality and Travel,OutWit Hub,10 to 15,21100.0,Netherlands,20.0
Web Scraping,Entry Level,Media and Entertainment,Octoparse,5 to 10,54700.0,India,16.0
Web Scraping,Intermediate,Small Business/Local Business,Scrapy,15 to 20,60800.0,Spain,23.0
Web Scraping,Intermediate,Retail (Non-E-commerce),Import.io,5 to 10,35900.0,Saudi Arabia,21.0
Web Scraping,Entry Level,Retail (Non-E-commerce),Scrapy,15 to 20,51300.0,United States,29.0
Application Development,Expert,Construction and Engineering,Proto.io,10 to 15,52700.0,United Arab Emirates,32.0
Web Scraping,Expert,Telecommunications,Scrapy,5 to 10,62300.0,Saudi Arabia,22.0
Website Development,Expert,Non-Profit and NGOs,Django,Less than 5,41100.0,Brazil,12.0
Website Development,Intermediate,Finance and Banking,Laravel,Less than 5,65800.0,Austria,10.0
Website Development,Expert,Government,Visual Studio Code,Less than 5,57100.0,Russia,23.0
Web Scraping,Intermediate,Professional Services,DataMiner,5 to 10,54900.0,South Korea,22.0
Web Scraping,Entry Level,Small Business/Local Business,Import.io,20 to 50,4400.0,Israel,17.0
Web Scraping,Entry Level,Automotive,ParseHub,50+,95900.0,Thailand,25.0
Website Development,Intermediate,Media and Entertainment,Ruby on Rails,20 to 50,20400.0,Austria,10.0
Web Scraping,Expert,Telecommunications,Octoparse,5 to 10,34400.0,Russia,21.0
Website Development,Intermediate,Government,Django,15 to 20,75600.0,Brazil,13.0
Website Development,Entry Level,Insurance,Vue.js,5 to 10,65400.0,Argentina,3.0
Application Development,Expert,Manufacturing and Industrial,UXPin,5 to 10,46900.0,Mexico,24.0
Website Development,Expert,Retail (Non-E-commerce),Drupal,50+,100000.0,South Africa,24.0
Website Development,Expert,Real Estate,Express.js,5 to 10,29900.0,Indonesia,19.0
Application Development,Expert,Small Business/Local Business,Balsamiq,5 to 10,87100.0,Mexico,24.0
Website Development,Intermediate,Manufacturing and Industrial,Vue.js,20 to 50,11100.0,Argentina,5.0
Web Scraping,Expert,Non-Profit and NGOs,Octoparse,20 to 50,77700.0,Turkey,26.0
Application Development,Intermediate,Real Estate,InVision,20 to 50,79300.0,Switzerland,29.0
Web Scraping,Expert,Real Estate,Scrapy,10 to 15,49800.0,United States,35.0
Web Scraping,Expert,Retail (Non-E-commerce),Scrapy,Less than 5,94200.0,South Korea,22.0
Web Scraping,Entry Level,Manufacturing and Industrial,Beautiful Soup,10 to 15,52500.0,Saudi Arabia,21.0
Website Development,Intermediate,Manufacturing and Industrial,Laravel,50+,37600.0,China,14.0
Web Scraping,Intermediate,Education,DataMiner,50+,14700.0,China,12.0
Application Development,Intermediate,Real Estate,UXPin,Less than 5,96800.0,United Arab Emirates,32.0
Web Scraping,Expert,Education,Import.io,15 to 20,51700.0,South Korea,23.0
Website Development,Intermediate,Hospitality and Travel,Next.js,5 to 10,62800.0,Netherlands,22.0
Website Development,Intermediate,Insurance,Django,10 to 15,5000.0,Australia,8.0
Application Development,Entry Level,Manufacturing and Industrial,Balsamiq,50+,41000.0,United Arab Emirates,32.0
Website Development,Entry Level,Manufacturing and Industrial,Ruby on Rails,5 to 10,41200.0,Belgium,11.0
Application Development,Intermediate,E-Commerce,InVision,20 to 50,55400.0,South Korea,27.0
Web Scraping,Entry Level,Non-Profit and NGOs,ParseHub,5 to 10,9500.0,France,14.0
Application Development,Expert,E-Commerce,InVision,5 to 10,93200.0,Italy,23.0
Website Development,Entry Level,Retail (Non-E-commerce),Next.js,Less than 5,44000.0,Mexico,22.0
Website Development,Expert,Personal Blogs/Portfolios,Drupal,50+,55600.0,Spain,25.0
Web Scraping,Entry Level,Technology and SaaS,Mozenda,5 to 10,81300.0,Russia,21.0
Application Development,Expert,Finance and Banking,Figma,15 to 20,78500.0,Russia,26.0
Web Scraping,Entry Level,E-Commerce,OutWit Hub,Less than 5,93600.0,Indonesia,17.0
Website Development,Expert,Retail (Non-E-commerce),Figma,Less than 5,54200.0,Russia,23.0
Web Scraping,Intermediate,Government,WebHarvy,10 to 15,61000.0,Italy,18.0
Web Scraping,Intermediate,Healthcare,Scrapy,Less than 5,11600.0,Germany,15.0
Application Development,Expert,Energy and Utilities,Axure,5 to 10,47300.0,Saudi Arabia,26.0
Application Development,Entry Level,Finance and Banking,UXPin,50+,18000.0,Japan,24.0
Website Development,Intermediate,Telecommunications,Ruby on Rails,Less than 5,6700.0,Australia,7.0
Web Scraping,Expert,Government,Import.io,10 to 15,14100.0,United Arab Emirates,27.0
Website Development,Entry Level,Retail (Non-E-commerce),Flutter,10 to 15,46100.0,France,16.0
Application Development,Intermediate,E-Commerce,Marvel,20 to 50,61800.0,France,19.0
Application Development,Expert,Automotive,Affinity Designer,Less than 5,40000.0,United States,36.0
Website Development,Entry Level,Technology and SaaS,Ruby on Rails,15 to 20,39400.0,Canada,14.0
Website Development,Entry Level,E-Commerce,Angular,50+,7400.0,Brazil,13.0
Website Development,Entry Level,Retail (Non-E-commerce),Angular,50+,80200.0,Brazil,13.0
Web Scraping,Entry Level,Automotive,Scrapy,50+,70900.0,Mexico,20.0
Website Development,Entry Level,Personal Blogs/Portfolios,TypeScript,10 to 15,41200.0,Indonesia,19.0
Application Development,Entry Level,Real Estate,Affinity Designer,50+,96700.0,Thailand,31.0
Web Scraping,Entry Level,Media and Entertainment,Import.io,10 to 15,36900.0,Brazil,10.0
Web Scraping,Expert,Technology and SaaS,Octoparse,15 to 20,95500.0,Japan,19.0
Website Development,Intermediate,E-Commerce,React.js,5 to 10,8600.0,Argentina,6.0
Application Development,Entry Level,Real Estate,Affinity Designer,Less than 5,30500.0,United States,35.0
Web Scraping,Expert,Telecommunications,OutWit Hub,10 to 15,93800.0,Canada,12.0
Website Development,Expert,Energy and Utilities,Django,50+,70300.0,China,15.0
Application Development,Expert,Automotive,Affinity Designer,5 to 10,70500.0,United Kingdom,33.0
Website Development,Expert,Manufacturing and Industrial,TypeScript,10 to 15,50700.0,India,18.0
Website Development,Entry Level,Small Business/Local Business,Flutter,5 to 10,31100.0,Brazil,11.0
Application Development,Expert,Insurance,Affinity Designer,50+,59900.0,Thailand,31.0
Website Development,Expert,Personal Blogs/Portfolios,Express.js,20 to 50,28900.0,Russia,23.0
Application Development,Expert,Small Business/Local Business,Balsamiq,10 to 15,19000.0,Spain,28.0
Application Development,Intermediate,Telecommunications,Marvel,Less than 5,17200.0,China,18.0
Web Scraping,Entry Level,Professional Services,WebHarvy,5 to 10,56400.0,Mexico,19.0
Website Development,Intermediate,Non-Profit and NGOs,Django,5 to 10,83200.0,Australia,8.0
Application Development,Intermediate,Insurance,Balsamiq,Less than 5,39100.0,Germany,21.0
Web Scraping,Intermediate,Education,Octoparse,10 to 15,6300.0,France,14.0
Web Scraping,Intermediate,Insurance,Import.io,5 to 10,39900.0,Indonesia,17.0
Application Development,Entry Level,Energy and Utilities,Affinity Designer,15 to 20,14200.0,United Arab Emirates,32.0
Web Scraping,Intermediate,Technology and SaaS,Octoparse,15 to 20,33200.0,Austria,8.0
Website Development,Intermediate,Hospitality and Travel,TypeScript,10 to 15,70400.0,Belgium,11.0
Application Development,Entry Level,Retail (Non-E-commerce),Affinity Designer,10 to 15,68900.0,United States,38.0
Website Development,Expert,Personal Blogs/Portfolios,Visual Studio Code,20 to 50,34000.0,United Kingdom,29.0
Application Development,Expert,Energy and Utilities,Balsamiq,50+,65600.0,United States,36.0
Application Development,Entry Level,Professional Services,Proto.io,Less than 5,50000.0,Germany,21.0
Web Scraping,Entry Level,Manufacturing and Industrial,Mozenda,10 to 15,55900.0,Germany,15.0
Application Development,Intermediate,E-Commerce,Affinity Designer,Less than 5,87100.0,United Kingdom,32.0
Application Development,Intermediate,Real Estate,InVision,10 to 15,80700.0,Thailand,31.0
Application Development,Entry Level,Insurance,Adobe XD,20 to 50,49800.0,Germany,20.0
Application Development,Intermediate,Hospitality and Travel,Axure,5 to 10,35500.0,Italy,23.0
Website Development,Expert,Technology and SaaS,TypeScript,15 to 20,58100.0,France,16.0
Application Development,Expert,Hospitality and Travel,Marvel,5 to 10,12500.0,Sweden,29.0
Application Development,Entry Level,Non-Profit and NGOs,InVision,50+,36200.0,Russia,26.0
Web Scraping,Intermediate,Non-Profit and NGOs,Selenium,5 to 10,93900.0,Argentina,4.0
Application Development,Entry Level,Technology and SaaS,Balsamiq,15 to 20,43000.0,China,17.0
Web Scraping,Expert,Hospitality and Travel,ParseHub,20 to 50,31500.0,Sweden,24.0
Application Development,Expert,Education,Proto.io,Less than 5,19700.0,South Korea,27.0
Website Development,Intermediate,Small Business/Local Business,Flutter,20 to 50,14900.0,Germany,17.0
Web Scraping,Entry Level,Real Estate,ParseHub,Less than 5,35000.0,Switzerland,25.0
Website Development,Intermediate,Automotive,Ruby on Rails,Less than 5,44500.0,China,14.0
Application Development,Expert,Small Business/Local Business,Balsamiq,15 to 20,14100.0,Russia,26.0
Application Development,Intermediate,Retail (Non-E-commerce),Affinity Designer,15 to 20,96500.0,United States,36.0
Website Development,Intermediate,Manufacturing and Industrial,Next.js,20 to 50,34200.0,Japan,21.0
Web Scraping,Entry Level,Construction and Engineering,Scrapy,5 to 10,74900.0,Thailand,26.0
Web Scraping,Intermediate,Personal Blogs/Portfolios,WebHarvy,Less than 5,85100.0,Germany,15.0
Website Development,Entry Level,Personal Blogs/Portfolios,TypeScript,Less than 5,68700.0,Japan,21.0
Web Scraping,Entry Level,Non-Profit and NGOs,OutWit Hub,20 to 50,7900.0,Thailand,25.0
Application Development,Intermediate,Hospitality and Travel,Balsamiq,50+,35600.0,United Kingdom,32.0
Application Development,Expert,Hospitality and Travel,Affinity Designer,10 to 15,20300.0,United States,34.0
Application Development,Expert,Construction and Engineering,Axure,15 to 20,82900.0,United Kingdom,32.0
Application Development,Expert,Manufacturing and Industrial,InVision,Less than 5,49800.0,Russia,26.0
Application Development,Intermediate,Insurance,InVision,15 to 20,78200.0,China,19.0
Web Scraping,Expert,Professional Services,Mozenda,10 to 15,37700.0,Turkey,26.0
Web Scraping,Intermediate,Energy and Utilities,Octoparse,Less than 5,22300.0,Brazil,11.0
Application Development,Expert,Healthcare,Marvel,20 to 50,71300.0,Sweden,29.0
Website Development,Intermediate,Finance and Banking,Bootstrap,15 to 20,92900.0,India,18.0
Website Development,Expert,Energy and Utilities,WordPress,50+,62400.0,Indonesia,19.0
Application Development,Intermediate,Personal Blogs/Portfolios,Proto.io,10 to 15,47400.0,United Kingdom,32.0
Website Development,Entry Level,Real Estate,Next.js,20 to 50,30000.0,Japan,21.0
Application Development,Expert,Media and Entertainment,Marvel,10 to 15,59600.0,China,17.0
Web Scraping,Intermediate,Education,Octoparse,20 to 50,64800.0,Germany,15.0
Website Development,Intermediate,Personal Blogs/Portfolios,Laravel,50+,38900.0,India,18.0
Web Scraping,Entry Level,Healthcare,Mozenda,50+,89800.0,Spain,23.0
Website Development,Expert,Retail (Non-E-commerce),Figma,20 to 50,73000.0,Sweden,26.0
Website Development,Intermediate,Healthcare,Figma,10 to 15,32800.0,Sweden,25.0
Application Development,Intermediate,Manufacturing and Industrial,Marvel,Less than 5,85800.0,Japan,24.0
Application Development,Intermediate,Automotive,Affinity Designer,5 to 10,8300.0,Spain,28.0
Web Scraping,Intermediate,E-Commerce,Selenium,5 to 10,8400.0,China,13.0
Application Development,Entry Level,Insurance,Figma,5 to 10,36200.0,Brazil,16.0
Web Scraping,Expert,E-Commerce,ParseHub,15 to 20,46400.0,Switzerland,25.0
Website Development,Entry Level,Telecommunications,Django,15 to 20,94900.0,China,15.0
Website Development,Entry Level,Manufacturing and Industrial,Laravel,15 to 20,66300.0,France,16.0
Website Development,Expert,Education,Next.js,5 to 10,55500.0,China,14.0
Application Development,Intermediate,Insurance,Balsamiq,10 to 15,38700.0,India,21.0
Website Development,Intermediate,Technology and SaaS,TypeScript,Less than 5,54700.0,Brazil,12.0
Web Scraping,Entry Level,Healthcare,Scrapy,50+,94900.0,South Korea,22.0
Website Development,Expert,Energy and Utilities,Flutter,Less than 5,43100.0,Brazil,13.0
Application Development,Expert,Non-Profit and NGOs,Axure,Less than 5,30500.0,Indonesia,22.0
Web Scraping,Intermediate,Education,OutWit Hub,5 to 10,82900.0,Indonesia,17.0
Web Scraping,Entry Level,E-Commerce,OutWit Hub,15 to 20,85600.0,Italy,18.0
Application Development,Expert,Small Business/Local Business,Affinity Designer,50+,2000.0,Sweden,29.0
Web Scraping,Intermediate,Telecommunications,Beautiful Soup,Less than 5,81900.0,Brazil,10.0
Web Scraping,Intermediate,Construction and Engineering,WebHarvy,5 to 10,45500.0,United States,29.0
Web Scraping,Intermediate,Technology and SaaS,Selenium,5 to 10,42400.0,Belgium,9.0
Application Development,Entry Level,Retail (Non-E-commerce),Affinity Designer,15 to 20,21800.0,United States,36.0
Web Scraping,Intermediate,Energy and Utilities,Octoparse,20 to 50,89800.0,Italy,18.0
Web Scraping,Intermediate,Healthcare,Import.io,Less than 5,49800.0,Canada,11.0
Application Development,Entry Level,Energy and Utilities,InVision,10 to 15,5100.0,China,18.0
Website Development,Entry Level,Non-Profit and NGOs,Django,10 to 15,20600.0,Argentina,6.0
Application Development,Expert,Retail (Non-E-commerce),Affinity Designer,50+,73800.0,United States,37.0
Application Development,Expert,Construction and Engineering,Marvel,15 to 20,67500.0,United States,37.0
Web Scraping,Intermediate,Construction and Engineering,Octoparse,10 to 15,12000.0,Indonesia,17.0
Application Development,Intermediate,Non-Profit and NGOs,InVision,20 to 50,96000.0,Canada,16.0
Application Development,Intermediate,Media and Entertainment,Balsamiq,20 to 50,53800.0,South Korea,27.0
